name,code,ticker_yf,market
우신시스템,017370,017370.KS,KOSPI
우진,105840,105840.KS,KOSPI
우진아이엔에스,010400,010400.KS,KOSPI
우진플라임,049800,049800.KS,KOSPI
웅진,016880,016880.KS,KOSPI
웅진씽크빅,095720,095720.KS,KOSPI
원림,005820,005820.KS,KOSPI
윌비스,008600,008600.KS,KOSPI
유나이티드제약,033270,033270.KS,KOSPI
유니드,014830,014830.KS,KOSPI
유니드비티플러스,446070,446070.KS,KOSPI
유니온,000910,000910.KS,KOSPI
유니온머티리얼,047400,047400.KS,KOSPI
유니켐,011330,011330.KS,KOSPI
유니퀘스트,077500,077500.KS,KOSPI
유성기업,002920,002920.KS,KOSPI
유수홀딩스,000700,000700.KS,KOSPI
유안타증권,003470,003470.KS,KOSPI
유안타증권우,003475,003475.KS,KOSPI
유엔젤,072130,072130.KS,KOSPI
유유제약,000220,000220.KS,KOSPI
유유제약1우,000225,000225.KS,KOSPI
유유제약2우B,000227,000227.KS,KOSPI
유진투자증권,001200,001200.KS,KOSPI
유한양행,000100,000100.KS,KOSPI
유한양행우,000105,000105.KS,KOSPI
유화증권,003460,003460.KS,KOSPI
유화증권우,003465,003465.KS,KOSPI
율촌화학,008730,008730.KS,KOSPI
이건산업,008250,008250.KS,KOSPI
이구산업,025820,025820.KS,KOSPI
이노션,214320,214320.KS,KOSPI
이리츠코크렙,088260,088260.KS,KOSPI
이마트,139480,139480.KS,KOSPI
이수스페셜티케미컬,457190,457190.KS,KOSPI
이수페타시스,007660,007660.KS,KOSPI
이수화학,005950,005950.KS,KOSPI
이스타코,015020,015020.KS,KOSPI
이엔플러스,074610,074610.KS,KOSPI
이연제약,102460,102460.KS,KOSPI
이월드,084680,084680.KS,KOSPI
이지스레지던스리츠,350520,350520.KS,KOSPI
이지스밸류플러스리츠,334890,334890.KS,KOSPI
이화산업,000760,000760.KS,KOSPI
인디에프,014990,014990.KS,KOSPI
인바이오젠,101140,101140.KS,KOSPI
인스코비,006490,006490.KS,KOSPI
인지컨트롤스,023800,023800.KS,KOSPI
인천도시가스,034590,034590.KS,KOSPI
인터지스,129260,129260.KS,KOSPI
인팩,023810,023810.KS,KOSPI
일동제약,249420,249420.KS,KOSPI
일동홀딩스,000230,000230.KS,KOSPI
일성건설,013360,013360.KS,KOSPI
일성아이에스,003120,003120.KS,KOSPI
일신방직,003200,003200.KS,KOSPI
일신석재,007110,007110.KS,KOSPI
일양약품,007570,007570.KS,KOSPI
일양약품우,007575,007575.KS,KOSPI
